question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which church father is known for his work Against Heresies?,Origen,Tertullian,Irenaeus,Athanasius,3,6
Which Old Testament prophet was a contemporary of Haggai?,Micah,Zechariah,Joel,Amos,2,7
Who succeeded Moses as leader of Israel?,Aaron,Joshua,Caleb,Eleazar,2,2
Which council condemned Arius?,Council of Chalcedon,Council of Nicaea,Council of Ephesus,Council of Orange,2,6
What was the name of Ruth's mother-in-law?,Naomi,Miriam,Deborah,Hannah,1,2
Which king ordered the rebuilding of the Temple after the exile?,Darius,Cyrus,Artaxerxes,Xerxes,2,5
Who wrote the majority of the New Testament epistles?,Peter,John,Paul,James,3,2
Which church father translated the Bible into Latin (the Vulgate)?,Augustine,Jerome,Chrysostom,Origen,2,5
Which tribe settled on the western side of the Sea of Galilee?,Judah,Naphtali,Benjamin,Simeon,2,8
Who was the father of John the Baptist?,Zechariah,Joachim,Cornelius,Simeon,1,3
What was the first plague in Egypt?,Frogs,Darkness,Water to blood,Hail,3,2
Which king was known for discovering the Book of the Law during Temple repairs?,Hezekiah,Josiah,Uzziah,Jehoshaphat,2,5
Who preached the sermon at Pentecost?,Paul,James,Peter,John,3,2
Which church father wrote The City of God?,Jerome,Augustine,Athanasius,Cyprian,2,5
Who was the judge that defeated Midian with 300 men?,Samson,Gideon,Jephthah,Ehud,2,4
Which book immediately follows Joshua?,Judges,Ruth,1 Samuel,Deuteronomy,1,2
What was the name of Abraham's nephew?,Lot,Laban,Ishmael,Esau,1,3
Which apostle was known as the beloved disciple?,Peter,James,John,Andrew,3,4
Who was the first Christian martyr?,Stephen,James,Philip,Barnabas,1,4
Which church father famously said "Our hearts are restless until they rest in You"?,Origen,Athanasius,Augustine,Jerome,3,6
What city was Jonah sent to preach against?,Babylon,Nineveh,Tyre,Damascus,2,3
Which king built the first Temple in Jerusalem?,David,Hezekiah,Josiah,Solomon,4,2
Who interpreted Pharaoh's dreams?,Moses,Daniel,Joseph,Aaron,3,2
Which epistle is addressed to a runaway slave's master?,Titus,Philemon,Colossians,2 Timothy,2,6
Who was the mother of Samuel?,Naomi,Hannah,Elizabeth,Miriam,2,3
Which church father was known as the "Golden-Mouthed" preacher?,Chrysostom,Ambrose,Clement,Polycarp,1,7
Who was thrown into a den of lions?,Jeremiah,Daniel,Ezekiel,Amos,2,2
What was Paul's occupation?,Fisherman,Tax collector,Tentmaker,Physician,3,4
Which prophet confronted David after his sin with Bathsheba?,Nathan,Gad,Elijah,Samuel,1,4
Who wrote the Book of Revelation?,Peter,Paul,John,James,3,3
Which council affirmed the full deity of the Holy Spirit?,Nicaea I,Constantinople I,Ephesus,Orange,2,8
Who was Esther's cousin and guardian?,Ezra,Mordecai,Nehemiah,Haggai,2,4
Which king's feast featured handwriting on the wall?,Nebuchadnezzar,Darius,Belshazzar,Cyrus,3,5
Who climbed a sycamore tree to see Jesus?,Bartimaeus,Zacchaeus,Jairus,Cornelius,2,2
Which apostle doubted the resurrection until he saw Jesus?,Thomas,Philip,Andrew,Matthew,1,2
Who was the father of King David?,Boaz,Obed,Jesse,Samuel,3,3
Which church father was a disciple of the Apostle John according to tradition?,Polycarp,Origen,Tertullian,Cyprian,1,7
Who rebuilt the walls of Jerusalem?,Ezra,Nehemiah,Zerubbabel,Haggai,2,4
Which prophet married Gomer?,Amos,Hosea,Joel,Micah,2,5
What island did Paul visit after being shipwrecked?,Crete,Cyprus,Malta,Patmos,3,5
Which king humbled himself after living like an animal?,Ahab,Nebuchadnezzar,Belshazzar,Jehoiakim,2,6
Who was the Roman governor who sentenced Jesus to crucifixion?,Felix,Festus,Pilate,Gallio,3,2
Which church father opposed Pelagius?,Athanasius,Augustine,Jerome,Ignatius,2,7
Who was the first king of Israel?,David,Saul,Solomon,Samuel,2,2
Which prophet saw a valley of dry bones?,Isaiah,Ezekiel,Jeremiah,Joel,2,5
Who accompanied Paul and Silas out of Philippi after the jail miracle?,Luke,Timothy,Lydia,None of these,4,7
Which book records the rebuilding of the Temple after exile?,Nehemiah,Ezra,Esther,Haggai,2,5
Who anointed Saul as king?,Nathan,Eli,Samuel,Gad,3,4
Which church father was bishop of Hippo?,Jerome,Augustine,Athanasius,Clement,2,6
Who was Boaz's wife?,Ruth,Naomi,Abigail,Deborah,1,3
Which king sought wisdom above riches?,David,Hezekiah,Solomon,Asa,3,2
Who was the mother of John the Baptist?,Anna,Elizabeth,Martha,Salome,2,3
Which apostle was a tax collector?,Matthew,Philip,Andrew,Thomas,1,3
Who taught Apollos more accurately?,Peter and John,Paul and Silas,Priscilla and Aquila,Barnabas and Mark,3,6
Which prophet challenged Baal's prophets on Mount Carmel?,Elijah,Elisha,Micaiah,Nathan,1,4
What was the name of Isaac's wife?,Rachel,Sarah,Rebekah,Leah,3,3
Which church father wrote On the Incarnation?,Athanasius,Basil,Origen,Irenaeus,1,7
Who carried Jesus' cross?,Joseph of Arimathea,Simon of Cyrene,Nicodemus,Bartimaeus,2,4
Which king was struck with leprosy for entering the Temple improperly?,Uzziah,Ahaz,Amaziah,Jehoram,1,7
Who was the high priest when Samuel was a child?,Abiathar,Eli,Zadok,Phinehas,2,5
Which prophet foretold the Messiah's birth in Bethlehem?,Micah,Nahum,Habakkuk,Joel,1,7
Who restored Saul's sight after Damascus?,Barnabas,Ananias,Philip,Silas,2,6
Which church father was martyred in Smyrna?,Polycarp,Clement,Origen,Tertullian,1,7
Who hid the spies in Jericho?,Rahab,Jael,Ruth,Deborah,1,4
Which apostle preached to the Ethiopian eunuch?,Philip,Peter,Paul,John,1,5
Who was Jacob's oldest son?,Joseph,Judah,Reuben,Levi,3,5
Which book contains the Hall of Faith?,Romans,Hebrews,James,Galatians,2,5
Who was known as the weeping prophet?,Isaiah,Jeremiah,Ezekiel,Hosea,2,4
Which church father defended the Trinity against Arianism?,Athanasius,Origen,Clement,Cyprian,1,7
Who succeeded Elijah?,Elisha,Isaiah,Micah,Nahum,1,4
What was the name of Moses' sister?,Deborah,Miriam,Hannah,Abigail,2,3
Which king issued the decree allowing Jews to return from Babylon?,Artaxerxes,Cyrus,Darius,Xerxes,2,5
Who wrote most of Proverbs?,David,Asaph,Solomon,Agur,3,3
Which apostle was exiled to Patmos?,Peter,Paul,John,Thomas,3,4
Who was Abraham's first son?,Isaac,Jacob,Ishmael,Esau,3,4
Which church father authored the Confessions?,Augustine,Jerome,Origen,Ambrose,1,6
Who raised Eutychus after he fell from a window?,Peter,Paul,John,Barnabas,2,6
Which king celebrated a notable Passover revival in Judah?,Ahab,Hezekiah,Jehoiakim,Omri,2,7
Who was the father of John Mark?,Barnabas,Not named in Scripture,Peter,Aristarchus,2,8
Which prophet interpreted Nebuchadnezzar's dreams?,Ezekiel,Daniel,Jeremiah,Hosea,2,4
Who was Lydia?,A seller of purple cloth,A prophetess,A queen,A deaconess in Jerusalem,1,5
Which church father taught Gregory Nazianzen and Basil?,Ambrose,Athanasius,Gregory Thaumaturgus,None of these,4,8
Who was David's closest friend among Saul's family?,Jonathan,Abner,Ishbosheth,Joab,1,3
Which New Testament book is addressed to Theophilus?,Luke,Acts,Both Luke and Acts,Romans,3,6
Who was the judge who made a rash vow concerning his daughter?,Gideon,Jephthah,Samson,Ehud,2,6
Which council produced the definition of Christ's two natures?,Nicaea,Ephesus,Chalcedon,Orange,3,8
Who was the mother of King Lemuel according to Proverbs 31?,Bathsheba,Not explicitly identified,Abigail,Naomi,2,8
Which apostle brought Nathanael to Jesus?,Andrew,Philip,James,Thomas,2,7
Who was the Roman centurion converted in Acts 10?,Cornelius,Julius,Claudius Lysias,Longinus,1,4
